index,distance,elevation
0,0.0,16.25
1,3.0,24.5
2,6.0,23.75
3,9.0,37.25
4,12.0,20.75
5,15.0,16.0
6,18.0,31.75
7,21.0,32.0
8,24.0,45.75
9,27.0,44.75
10,30.0,49.5
11,33.0,42.0
12,36.0,31.75
13,39.0,19.25
14,42.0,35.5
15,45.0,51.25
16,48.0,60.0
17,51.0,55.5
18,54.0,53.75
19,57.0,54.25
20,60.0,36.25
21,63.0,55.25
22,66.0,33.0
23,69.0,58.75
24,72.0,54.75
25,75.0,70.0
26,78.0,76.0
27,81.0,88.5
28,84.0,68.5
29,87.0,57.5
30,90.0,60.75
31,93.0,64.5
32,96.0,76.0
33,99.0,70.0
34,102.0,60.5
35,105.0,58.25
36,108.0,61.75
37,111.0,57.5
38,114.0,51.0
39,117.0,51.75
40,120.0,53.0
41,123.0,57.25
42,126.0,65.5
43,129.0,62.25
44,132.0,66.75
45,135.0,63.75
46,138.0,88.25
47,141.0,73.75
48,144.0,69.25
49,147.0,94.75
50,150.0,91.0
51,153.0,84.75
52,156.0,98.5
53,159.0,108.0
54,162.0,160.25
55,165.0,136.75
56,168.0,112.25
57,171.0,144.5
58,174.0,183.25
59,177.0,175.75
60,180.0,188.0
61,183.0,219.25
62,186.0,218.0
63,189.0,235.75
64,192.0,230.25
65,195.0,207.75
66,198.0,197.5
67,201.0,202.25
68,204.0,196.0
69,207.0,199.75
70,210.0,205.0
71,213.0,200.0
72,216.0,200.5
73,219.0,216.5
74,222.0,217.75
75,225.0,203.75
76,228.0,192.75
77,231.0,191.0
78,234.0,185.0
79,237.0,172.5
80,240.0,151.5
81,243.0,146.75
82,246.0,161.75
83,249.0,141.75
84,252.0,130.75
85,255.0,150.0
86,258.0,117.0
87,261.0,134.0
88,264.0,155.0
89,267.0,139.75
90,270.0,122.75
91,273.0,108.0
92,276.0,119.0
93,279.0,138.5
94,282.0,156.25
95,285.0,165.5
96,288.0,189.75
97,291.0,182.25
98,294.0,156.25
